项目名称,年份,NOI(万元),资本性支出(万元),自由现金流(万元),折现因子,现值(万元)
广州项目（美居+全季）,1,8249.23,141.63,8107.6,1.0575,7666.76
广州项目（美居+全季）,2,8414.21,145.16,8269.05,1.1183,7394.27
广州项目（美居+全季）,3,8582.5,148.77,8433.73,1.1826,7131.46
广州项目（美居+全季）,4,8839.97,151.75,8688.23,1.2506,6947.2
广州项目（美居+全季）,5,9105.17,154.78,8950.39,1.3225,6767.69
广州项目（美居+全季）,6,9378.33,157.88,9220.45,1.3986,6592.8
广州项目（美居+全季）,7,9659.68,161.03,9498.64,1.479,6422.42
广州项目（美居+全季）,8,9949.47,164.25,9785.21,1.564,6256.44
广州项目（美居+全季）,9,10247.95,167.54,10080.41,1.654,6094.74
广州项目（美居+全季）,10,10555.39,170.89,10384.5,1.7491,5937.2
广州项目（美居+全季）,11,10792.89,174.31,10618.58,1.8496,5740.93
广州项目（美居+全季）,12,11035.73,177.79,10857.93,1.956,5551.15
广州项目（美居+全季）,13,11284.03,181.35,11102.68,2.0684,5367.64
广州项目（美居+全季）,14,11537.92,184.98,11352.95,2.1874,5190.19
广州项目（美居+全季）,15,11797.53,188.68,11608.85,2.3132,5018.61
广州项目（美居+全季）,16,12062.97,192.45,11870.52,2.4462,4852.7
广州项目（美居+全季）,17,12334.39,196.3,12138.09,2.5868,4692.28
广州项目（美居+全季）,18,12611.91,200.22,12411.69,2.7356,4537.16
广州项目（美居+全季）,19,12895.68,204.23,12691.45,2.8929,4387.17
上海项目（桔子水晶）,1,1790.99,38.92,1752.07,1.0575,1656.8
上海项目（桔子水晶）,2,1808.9,39.89,1769.01,1.1183,1581.87
上海项目（桔子水晶）,3,1845.08,40.88,1804.2,1.1826,1525.61
上海项目（桔子水晶）,4,1900.43,41.7,1858.73,1.2506,1486.26
上海项目（桔子水晶）,5,1957.44,42.53,1914.91,1.3225,1447.93
上海项目（桔子水晶）,6,2016.17,43.38,1972.78,1.3986,1410.58
上海项目（桔子水晶）,7,2076.65,44.25,2032.4,1.479,1374.19
上海项目（桔子水晶）,8,2138.95,45.13,2093.82,1.564,1338.74
上海项目（桔子水晶）,9,2203.12,46.04,2157.08,1.654,1304.2
上海项目（桔子水晶）,10,2269.21,46.96,2222.25,1.7491,1270.55
上海项目（桔子水晶）,11,2320.27,47.9,2272.37,1.8496,1228.56
上海项目（桔子水晶）,12,2372.48,48.86,2323.62,1.956,1187.96
上海项目（桔子水晶）,13,2425.86,49.83,2376.02,2.0684,1148.7
上海项目（桔子水晶）,14,2480.44,50.83,2429.61,2.1874,1110.74
上海项目（桔子水晶）,15,2536.25,51.85,2484.4,2.3132,1074.03
上海项目（桔子水晶）,16,2593.31,52.88,2540.43,2.4462,1038.54
上海项目（桔子水晶）,17,2651.66,53.94,2597.72,2.5868,1004.21
上海项目（桔子水晶）,18,2711.33,55.02,2656.31,2.7356,971.03
上海项目（桔子水晶）,19,2772.33,56.12,2716.21,2.8929,938.94
上海项目（桔子水晶）,20,2834.71,57.24,2777.47,3.0592,907.91
上海项目（桔子水晶）,21,2898.49,58.39,2840.1,3.2351,877.9
上海项目（桔子水晶）,22,2963.71,59.55,2904.15,3.4211,848.89
上海项目（桔子水晶）,23,3030.39,60.75,2969.64,3.6178,820.83
上海项目（桔子水晶）,24,3098.57,61.96,3036.61,3.8259,793.71
上海项目（桔子水晶）,25,3168.29,63.2,3105.09,4.0458,767.48
上海项目（桔子水晶）,26,3239.58,64.46,3175.11,4.2785,742.11
上海项目（桔子水晶）,27,3312.47,65.75,3246.71,4.5245,717.59
上海项目（桔子水晶）,28,3387.0,67.07,3319.93,4.7847,693.87
上海项目（桔子水晶）,29,3463.21,68.41,3394.8,5.0598,670.94
上海项目（桔子水晶）,30,3541.13,69.78,3471.35,5.3507,648.76
